City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Moose Factory,CA,2022-01-27 03:05:27,51.2585,-80.6094,12.18,73,100,23.02
93,New Norfolk,AU,2022-01-27 03:05:28,-42.7826,147.0587,73.71,54,82,1.99
94,Touros,BR,2022-01-27 03:04:28,-5.1989,-35.4608,77.9,77,100,10.76
95,Maceio,BR,2022-01-27 03:06:30,-9.6658,-35.7353,78.24,88,40,3.44
96,Severobaykalsk,RU,2022-01-27 03:06:31,55.65,109.3167,-3.87,89,66,1.48
97,Djibo,BF,2022-01-27 03:06:31,14.1022,-1.6306,65.55,13,50,10.96
98,Saskylakh,RU,2022-01-27 03:06:32,71.9167,114.0833,-14.3,95,49,4.72
99,Berlevag,NO,2022-01-27 03:06:33,70.8578,29.0864,24.39,79,100,13.29
100,Birao,CF,2022-01-27 03:06:33,10.2849,22.7882,68.0,19,100,12.1
101,Chapais,CA,2022-01-27 03:06:34,49.7834,-74.8492,-6.43,85,52,13.22
102,Quebo,GW,2022-01-27 03:06:35,11.3333,-14.9333,68.18,67,98,2.19
103,Bolivar,US,2022-01-27 03:03:24,37.6145,-93.4105,31.59,39,97,8.63
104,Xuanzhou,CN,2022-01-27 03:06:36,30.9525,118.7553,40.1,95,100,9.13
105,Puerto Ayora,EC,2022-01-27 03:03:26,-0.7393,-90.3518,73.22,91,97,6.2
106,Bluff,NZ,2022-01-27 03:06:38,-46.6,168.3333,56.8,60,62,12.08
107,Sorland,NO,2022-01-27 03:06:38,67.667,12.6934,38.26,74,82,7.14
108,Ponta Pora,BR,2022-01-27 03:06:39,-22.5361,-55.7256,70.36,89,100,3.98
109,Hovd,MN,2022-01-27 03:06:40,48.0056,91.6419,-8.61,81,97,0.72
110,Yellowknife,CA,2022-01-27 03:06:40,62.456,-114.3525,4.41,92,100,4.0
111,Douentza,ML,2022-01-27 03:06:41,14.9951,-2.9517,64.24,14,64,4.23
112,Vanavara,RU,2022-01-27 03:06:42,60.34,102.2797,-13.79,98,68,0.92
113,Kirakira,SB,2022-01-27 03:06:43,-10.4544,161.9205,79.34,86,100,9.44
114,Lisala,CD,2022-01-27 03:06:44,2.15,21.5167,68.47,49,100,1.68
115,Cap Malheureux,MU,2022-01-27 03:06:44,-19.9842,57.6142,76.46,68,21,3.0
116,Tilichiki,RU,2022-01-27 03:06:45,60.4667,166.1,22.84,92,100,12.19
117,Marrakesh,MA,2022-01-27 03:06:46,31.6315,-8.0083,50.07,81,40,5.75
118,Esso,RU,2022-01-27 03:06:47,55.9333,158.7,12.45,74,100,3.62
119,Kibre Mengist,ET,2022-01-27 03:06:47,5.8833,38.9833,49.5,45,2,3.09
120,Constitucion,CL,2022-01-27 03:06:48,-35.3333,-72.4167,57.25,94,8,4.5
121,Kiama,AU,2022-01-27 03:05:50,-34.6833,150.8667,82.99,63,9,11.99
122,Alekseyevsk,RU,2022-01-27 03:06:49,57.8406,108.3492,-0.99,96,96,1.45
123,Nishihara,JP,2022-01-27 03:06:50,26.1842,127.7558,73.06,64,75,11.5
124,Calama,CL,2022-01-27 03:06:51,-22.4667,-68.9333,57.69,30,24,5.75
125,Mogadishu,SO,2022-01-27 03:06:51,2.0371,45.3438,74.26,81,10,14.25
126,Ilulissat,GL,2022-01-27 03:06:52,69.2167,-51.1,12.22,57,100,23.02
127,Mahajanga,MG,2022-01-27 03:06:52,-15.7167,46.3167,73.42,94,20,3.44
128,Castro,BR,2022-01-27 03:06:53,-24.7911,-50.0119,66.96,89,99,2.59
129,Makakilo City,US,2022-01-27 03:06:54,21.3469,-158.0858,77.32,56,0,9.22
130,Batagay-Alyta,RU,2022-01-27 03:06:55,67.8006,130.4114,-13.77,88,86,5.88
131,Husavik,IS,2022-01-27 03:06:55,66.0449,-17.3389,22.96,75,100,5.61
132,Ponta Do Sol,PT,2022-01-27 03:05:22,32.6667,-17.1,59.0,77,55,5.66
133,Roald,NO,2022-01-27 03:06:56,62.5833,6.1333,40.91,93,100,21.85
134,Acapulco,MX,2022-01-27 03:06:57,16.8634,-99.8901,78.62,83,20,3.44
135,Ahipara,NZ,2022-01-27 03:06:58,-35.1667,173.1667,71.85,54,1,16.11
136,Kavaratti,IN,2022-01-27 03:06:59,10.5669,72.642,77.47,65,89,9.84
137,Kodiak,US,2022-01-27 03:07:59,57.79,-152.4072,35.11,87,100,13.8
138,Provideniya,RU,2022-01-27 03:05:16,64.3833,-173.3,-2.09,71,75,6.71
139,Vaini,TO,2022-01-27 03:08:00,-21.2,-175.2,86.16,84,20,9.22
140,Dzhebariki-Khaya,RU,2022-01-27 03:08:01,62.2167,135.8,-29.72,96,53,1.07
141,Hithadhoo,MV,2022-01-27 03:05:50,-0.6,73.0833,81.9,74,88,20.78
142,Galiakot,IN,2022-01-27 03:08:02,23.5167,74.0,54.34,51,0,6.35
143,Qaanaaq,GL,2022-01-27 03:05:50,77.484,-69.3632,-8.7,60,71,9.01
144,Forio,IT,2022-01-27 03:08:03,40.7342,13.8646,48.81,65,76,4.99
145,Zeya,RU,2022-01-27 03:08:04,53.75,127.2667,2.32,63,59,2.42
146,Goderich,CA,2022-01-27 03:08:05,43.7501,-81.7165,13.91,80,95,19.04
147,Bijie,CN,2022-01-27 03:08:05,27.3125,105.2942,37.58,93,100,4.34
148,Negombo,LK,2022-01-27 03:08:06,7.2083,79.8358,73.45,100,92,2.3
149,Muros,ES,2022-01-27 03:04:28,42.7762,-9.0603,45.1,86,0,7.45
150,Hobart,AU,2022-01-27 03:08:07,-42.8794,147.3294,74.05,64,75,4.0
151,Vao,NC,2022-01-27 03:08:08,-22.6667,167.4833,78.4,83,80,17.49
152,Kapaa,US,2022-01-27 03:08:09,22.0752,-159.319,78.12,73,20,1.01
153,Haicheng,CN,2022-01-27 03:08:09,40.8516,122.7475,20.26,39,0,9.31
154,Tocopilla,CL,2022-01-27 03:08:10,-22.092,-70.1979,67.98,71,19,1.79
155,Codrington,AU,2022-01-27 03:08:11,-38.2667,141.9667,80.71,64,49,12.77
156,Cidreira,BR,2022-01-27 03:08:11,-30.1811,-50.2056,74.25,95,100,7.76
157,Celestun,MX,2022-01-27 03:08:13,20.8667,-90.4,73.13,83,9,13.15
158,Gonda,IN,2022-01-27 03:08:14,27.1333,81.9333,52.11,70,0,7.18
159,Yulara,AU,2022-01-27 03:08:14,-25.2406,130.9889,97.66,27,35,3.74
160,Jalu,LY,2022-01-27 03:08:15,29.0331,21.5482,49.51,65,75,6.33
161,Pisco,PE,2022-01-27 03:08:16,-13.7,-76.2167,69.85,73,0,14.97
162,Chhaprauli,IN,2022-01-27 03:08:16,29.2167,77.1833,47.7,73,0,5.21
163,Veraval,IN,2022-01-27 03:04:21,20.9,70.3667,61.99,44,1,14.2
164,Kigorobya,UG,2022-01-27 03:08:18,1.6162,31.3089,70.27,38,82,2.64
165,Okakarara,NA,2022-01-27 03:08:18,-20.5833,17.4333,70.79,54,91,5.37
166,Ulaangom,MN,2022-01-27 03:08:19,49.9811,92.0667,-13.85,96,100,1.41
167,Ustrzyki Dolne,PL,2022-01-27 03:08:20,49.4304,22.5938,29.98,100,100,8.63
168,Ballina,AU,2022-01-27 03:08:20,-28.8667,153.5667,79.95,71,14,10.54
169,Bundaberg,AU,2022-01-27 03:08:21,-24.85,152.35,83.21,68,100,3.0
170,Sur,OM,2022-01-27 03:05:53,22.5667,59.5289,66.29,52,1,4.03
171,Fairbanks,US,2022-01-27 03:06:59,64.8378,-147.7164,-6.99,77,0,0.0
172,Rapid Valley,US,2022-01-27 03:05:42,44.0625,-103.1463,37.38,53,0,1.99
173,Valleyview,CA,2022-01-27 03:04:29,55.0667,-117.2859,19.24,94,24,2.95
174,Vostok,RU,2022-01-27 03:08:23,46.4856,135.8833,7.63,84,100,4.54
175,Rakoshyno,UA,2022-01-27 03:08:24,48.4671,22.5969,26.55,97,100,3.24
176,Kimbe,PG,2022-01-27 03:08:24,-5.5502,150.1429,89.35,61,90,7.11
177,Yunyang,CN,2022-01-27 03:08:25,33.4474,112.7142,36.39,62,100,9.33
178,Shimoda,JP,2022-01-27 03:08:26,34.6667,138.95,51.1,69,100,6.53
179,Tonantins,BR,2022-01-27 03:08:26,-2.8731,-67.8022,73.04,98,93,1.72
180,Ketchikan,US,2022-01-27 03:08:27,55.3422,-131.6461,35.58,100,20,3.44
181,Novosergiyevka,RU,2022-01-27 03:08:27,52.0934,53.6528,1.02,100,86,4.81
182,Narsaq,GL,2022-01-27 03:08:28,60.9167,-46.05,23.22,66,99,17.47
183,Amapa,BR,2022-01-27 03:09:29,1.0,-52.0,70.3,99,69,1.54
184,Cabo San Lucas,MX,2022-01-27 03:09:29,22.8909,-109.9124,71.15,66,0,3.44
185,Tuktoyaktuk,CA,2022-01-27 03:05:05,69.4541,-133.0374,-9.69,95,95,16.69
186,Chebsara,RU,2022-01-27 03:09:30,59.2002,38.8356,15.13,100,100,4.41
187,Stromness,GB,2022-01-27 03:09:31,58.965,-3.296,43.05,71,88,35.99
188,Palmeirais,BR,2022-01-27 03:09:32,-5.9778,-43.0633,73.15,94,100,2.01
189,Havoysund,NO,2022-01-27 03:09:32,70.9963,24.6622,27.48,75,100,6.08
190,Vaitape,PF,2022-01-27 03:09:33,-16.5167,-151.75,81.0,77,23,17.76
191,Pierre,US,2022-01-27 03:09:33,44.3683,-100.351,40.12,57,100,1.99
192,Thunder Bay,CA,2022-01-27 03:09:34,48.4001,-89.3168,20.55,75,100,17.27
