City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
119,San Juan,-31.5375,-68.5364,72.46,53,4,24.92,AR,clear sky
120,Butaritari,3.0707,172.7902,81.79,77,17,15.19,KI,light rain
121,Chinchani,19.8667,72.7,71.96,54,82,1.95,IN,broken clouds
122,Den Helder,52.9599,4.7593,48.18,89,100,21.0,NL,overcast clouds
123,Kirakira,-10.4544,161.9205,80.64,83,100,10.16,SB,light rain
124,Tessalit,20.1986,1.0114,55.04,19,0,12.26,ML,clear sky
125,Wenatchee,47.4235,-120.3103,30.43,84,0,4.61,US,clear sky
126,Chokurdakh,70.6333,147.9167,-27.42,100,61,0.31,RU,broken clouds
127,Margate,51.3813,1.3862,49.96,87,98,22.17,GB,overcast clouds
128,Ende,-8.8432,121.6623,84.31,75,83,7.99,ID,broken clouds
129,Hunchun,42.8675,130.3581,17.82,46,41,15.19,CN,scattered clouds
130,Bambous Virieux,-20.3428,57.7575,81.21,94,75,23.02,MU,light rain
131,Arraial Do Cabo,-22.9661,-42.0278,75.45,91,100,7.83,BR,overcast clouds
132,Hay River,60.8156,-115.7999,-23.82,76,40,2.3,CA,scattered clouds
133,Flinders,-34.5833,150.8552,75.79,62,77,17.27,AU,broken clouds
134,Haimen,23.1935,116.6142,57.09,70,96,9.55,CN,overcast clouds
135,Komsomolskiy,40.4272,71.7189,36.82,86,2,2.3,UZ,clear sky
136,Georgetown,5.4112,100.3354,89.55,70,20,3.44,MY,few clouds
137,La Asuncion,11.0333,-63.8628,78.53,78,1,12.66,VE,clear sky
138,Namikupa,-10.8333,39.6,71.89,95,97,2.55,TZ,overcast clouds
139,Cayenne,4.9333,-52.3333,79.09,90,100,3.0,GF,overcast clouds
140,Clyde River,70.4692,-68.5914,-5.57,77,100,32.21,CA,snow
141,Victoria,22.2855,114.1577,61.18,72,63,3.0,HK,broken clouds
142,Branistea,44.6833,25.5833,30.92,74,64,0.6,RO,broken clouds
143,Kharp,66.8014,65.8081,-1.21,99,100,1.66,RU,overcast clouds
144,Airai,-8.9266,125.4092,73.83,61,78,5.08,TL,broken clouds
145,Kasangulu,-4.5911,15.1708,72.54,96,97,3.6,CD,overcast clouds
146,Cidreira,-30.1811,-50.2056,75.52,90,88,20.33,BR,overcast clouds
147,Huai Thalaeng,14.997,102.6475,81.27,46,57,11.48,TH,broken clouds
148,Dzhida,50.6772,106.1806,2.7,88,99,3.8,RU,overcast clouds
149,Saint-Pierre,-21.3393,55.4781,80.24,84,100,20.04,RE,light rain
150,Egvekinot,66.3167,-179.1667,-7.29,73,1,17.96,RU,clear sky
151,Madang,-5.2246,145.7966,86.18,64,98,7.92,PG,overcast clouds
152,Ganzhou,28.8184,115.4327,46.72,64,64,4.63,CN,broken clouds
153,Tyret Pervaya,53.6703,102.3106,4.73,92,81,1.63,RU,broken clouds
154,Altay,47.8667,88.1167,9.93,68,5,4.12,CN,clear sky
155,Khatanga,71.9667,102.5,-31.99,100,90,4.36,RU,overcast clouds
156,Talnakh,69.4865,88.3972,-13.67,99,78,7.09,RU,broken clouds
157,Sitangkai,4.6628,119.3928,80.06,79,58,13.27,PH,broken clouds
158,Cherskiy,68.75,161.3,-30.35,99,13,2.53,RU,few clouds
159,Hoshangabad,22.75,77.7167,65.03,40,0,0.85,IN,clear sky
160,Berbera,10.4396,45.0143,72.99,66,1,3.02,SO,clear sky
161,Virginia Beach,36.8529,-75.978,63.05,72,100,18.39,US,overcast clouds
162,Ilorin,8.5,4.55,73.47,19,4,4.27,NG,clear sky
163,Salinas,36.6777,-121.6555,54.36,76,0,3.44,US,clear sky
164,Hofu,34.05,131.5667,48.07,43,11,16.69,JP,few clouds
165,Torbay,47.6666,-52.7314,39.58,89,100,25.32,CA,overcast clouds
166,Leh,34.1667,77.5833,8.89,94,100,1.43,IN,overcast clouds
167,Sambava,-14.2667,50.1667,76.24,84,100,5.32,MG,overcast clouds
168,Upernavik,72.7868,-56.1549,4.84,68,100,5.66,GL,overcast clouds
169,Zapolyarnyy,69.4154,30.8136,-1.12,100,100,4.14,RU,overcast clouds
170,Kavaratti,10.5669,72.642,79.18,65,5,9.08,IN,clear sky
171,Carnarvon,-24.8667,113.6333,95.18,34,32,1.25,AU,scattered clouds
172,Soyo,-6.1349,12.3689,76.71,76,96,3.22,AO,overcast clouds
173,Pak Phanang,8.3511,100.202,89.62,68,18,11.79,TH,few clouds
174,Huarmey,-10.0681,-78.1522,71.29,82,24,7.81,PE,few clouds
175,Harper,4.375,-7.7169,77.18,85,16,2.17,LR,light rain
176,Price,39.5994,-110.8107,22.26,53,0,5.75,US,clear sky
177,Porto Novo,6.4965,2.6036,75.79,88,0,2.21,BJ,clear sky
178,Tual,-5.6667,132.75,83.8,73,88,15.28,ID,overcast clouds
179,Qiyang,26.5911,111.8474,45.84,65,24,6.91,CN,few clouds
180,Alta Floresta,-9.8756,-56.0861,71.06,96,53,0.76,BR,broken clouds
181,Pandan,14.0453,124.1694,77.99,90,100,12.71,PH,light rain
182,Kodiak,57.79,-152.4072,36.91,87,100,18.41,US,overcast clouds
183,Yarada,17.65,83.2667,77.32,73,40,4.61,IN,haze
184,Shenjiamen,29.9576,122.298,44.98,61,98,15.5,CN,overcast clouds
185,Kiama,-34.6833,150.8667,76.37,58,78,1.99,AU,broken clouds
186,Dalvik,65.9702,-18.5286,22.93,94,100,5.82,IS,snow
187,Chase,50.8165,-119.6857,27.72,97,99,2.89,CA,overcast clouds
188,Tasiilaq,65.6145,-37.6368,12.36,58,83,5.75,GL,broken clouds
189,Barrow,71.2906,-156.7887,-27.38,75,75,3.44,US,haze
190,Provideniya,64.3833,-173.3,1.99,59,6,22.08,RU,clear sky
191,Gremyachinsk,58.5603,57.851,5.61,99,100,2.55,RU,overcast clouds
192,Lazaro Cardenas,17.9583,-102.2,70.99,78,0,4.45,MX,clear sky
